id;pkey;issuenum;pruject;Reporter;assignee;creator;issuetype;summary;description;environment;priority;resolution;issuestatus;created;updated;duedate;resulutiondate;votes;watches;timeestimate;timeoriginalestimate;timespent;worklflow_id;security;fixfor;component;archievedby;archiveddate;archived
133742;;1;15401;b001411;b001938;b001411;10100;Zeitbuchen BOSS Team;;;3.0;10000.0;10002;2020-10-08 07:35:05;2024-09-02 15:22:17.000;;2024-07-26 16:48:43;0;1;;0.0;78708520;814077;;;;;;N
142474;;10091;12903;b001242;b003069;b001242;10001;Scrum-Organisation Anforderungsmanagement;;;3.0;;10700;2020-11-23 08:31:09;2024-09-02 12:34:22;;;0;0;;0.0;17156160;498365;;;;;;N
151105;;87;12213;b001411;b001391;b001411;10100;Zeitbuchen BOSS Team 2021 ;;;3.0;;10700;2021-01-11 10:49:43;2024-08-30 13:53:54;;;0;3;136800.0;0.0;2695320;811095;;;;;;N
153935;;1;16001;b001249;b003069;b001249;10100;Zeiterfassung BOSS;Dieser Jira dient lediglich zur Zeiterfassung der Tätigkeiten rund um WE LF für das BOSS-Team. (AE+BO);;3.0;;10700;2021-01-22 13:13:02;2024-09-26 15:40:44;;;0;2;;0.0;53340191;764714;;;;;;N
155699;;9431;14006;b000270;b000270;b000270;10101;Thomas Höhlich;Grundlage:    ||JAHR||GESAMT||PROJEKT||TAGE|| |2021|(11 Monate) = 190 Tage|80|152| |2022|(12 Monate) = 210 Tage|80|168| |*GESAMT*| | |*320*|;;3.0;;10000;2021-01-29 15:02:34;2024-06-28 15:58:41;;;0;1;4158720.0;680400.0;12384000;842602;;;;;;N
157518;;9576;14006;b001052;b001052;b002038;10101;Claudia Ott;;;3.0;;10000;2021-02-08 12:34:13;2024-08-12 08:50:18;;;0;0;;0.0;9846000;842604;;;;;;N
157535;;9579;14006;b001057;b003069;b002038;10101;Thomas Gruschwitz;;;3.0;10000.0;10002;2021-02-08 12:52:11;2024-07-11 14:45:53;;2024-07-11 14:45:53;0;1;;0.0;5680800;852555;;;;;;N
158311;;9634;14006;b002113;b000869;b002113;10101;Ramona Lachner;;;3.0;;10000;2021-02-10 10:09:12;2024-08-06 11:10:35;;;0;1;;0.0;8688600;842605;;;;;;N
159545;;999;13501;b000515;b003069;b000515;10000;01_02_Fachliches Datenmodell;;;3.0;;10000;2021-02-17 11:27:46;2024-08-22 16:14:15;;;0;1;;0.0;30600;751812;;;;;;N
160737;;2;15401;b002149;b003069;b002149;10100;Zeitbuchung Projektteam ;;;3.0;;10000;2021-02-23 10:49:39.050;2024-09-06 07:10:22;2021-10-22 00:00:00.000;;0;2;0.0;0.0;86722044;814065;;;;;;N
161545;;96;16001;b001818;b003069;b001818;10100;INTERN - Zeitbuchung - Mathematik (sonstiges);;;3.0;;10700;2021-02-26 07:13:22;2024-09-27 17:04:18;;;0;1;;36567324.0;13165236;764723;;;;;;N
161546;;97;16001;b001818;b003069;b001818;10100;INTERN - Zeitbuchung - Referenzrechner (sonstiges);;;3.0;;10700;2021-02-26 07:13:51;2024-09-19 15:23:21;;;0;1;;0.0;15139439;764724;;;;;;N
165254;;1650;12251;b001683;b003069;b001683;10000;Zeitbuchung für SST-Klassik in der Linie;;;3.0;;10000;2021-03-15 09:19:02;2024-09-27 10:32:57;;;0;1;0.0;0.0;18917820;810801;;;;;;N
166753;;1676;12251;b000139;b000688;b000139;10100;Quickview: Archivierung rechnungslegungsrelevanter Daten im IDV-Portal ;folgende Termine sind bereits bekannt: Archivierung zu Q1/2021: letzter Abgabetermin 28.05.2021 Archivierung zu Q2/2021: letzter Abgabetermin 31.08.2021 Bitte jeweils rechtzeitig vorher die Erledigung per Mail an Hr. Thomas Ulrich bestätigen.;;3.0;;10700;2021-03-19 09:14:12;2024-07-23 15:47:22;;;0;1;0.0;0.0;324000;810893;;;;;;N
168963;;13281;12903;b000059;b003069;b003069;10001;Scrum Orga Neele's BackUp Stundenbuchung :);;;3.0;10000.0;10002;2021-03-30 15:29:28;2024-09-01 08:56:14.057;;2024-04-11 16:00:46;0;1;;0.0;17935860;487396;;;;;;N
170958;;10811;14006;b000854;b000854;b002038;10101;Zeiterfassung Test Frau Wolkenhauer;;;3.0;;10000;2021-04-13 15:02:43;2024-06-13 17:44:07;;;0;0;;0.0;210600;842614;;;;;;N
173796;;1307;13501;b003069;b003069;b003069;10000;98_OM Nachträge;"||Story||Beschreibung|| ||Schätzung (Kern)Team||Schätzung Zulieferung|| |Excel Schnittstelle Fachservice|GUI zum Import Excel  Wer, Wann, Was  Berechtigung für GUI| |Konzeption: 1  Entwicklung: 15   Test: 2| | |Datenmodell|Parsen - Excel -> NOA Struktur als Basis| |Konzeption: 1  Entwicklung: 7   Test: 2| | |Provisionsdaten|PTProv| |Konzeption: 1  Entwicklung: 1   Test: 1| | |Agenturdaten|SOAP Agenturservice| |Konzeption: 1  Entwicklung: 1  Test: 1| | |ZAD|LDS ""Anrede""| |Konzeption: 1  Entwicklung: 1  Test: 1| | |Manipulation für DOPiX|?| |Konzeption: 1  Entwicklung: 2   Test: 1| | |Test Fachbereich| | |12| | |Prozess|Camel-Route  Rückmeldungen in GUI  Klammer um Excel   |Konzeption: 1  Entwicklung: 10  Test: 1| |Archivierung und Postversand|Zulieferung OM Ende Q3/Anfang Q4  Änderung Schnittstelle Orderfacade wegen EFFZE:N Gevo-Briefe|Konzeption: 1  Entwicklung: 5  Test: 1|";;3.0;;10700;2021-04-27 14:51:54.003;2024-07-31 14:44:27;;;0;1;;0.0;108000;755377;;;;;;N
173805;;1309;13501;b003069;b003069;b003069;10000;98_OM Dokumenten Test;||Story||Beschreibung||Schätzung (Kern)Team||Schätzung Zulieferung|| |Test| | Konzeption/Testdaten/tfo: 7  Entwicklung: 5    ST (intern): 14 SIT (intern): 77 VPROD (intern): 7 | |;;3.0;;10700;2021-04-27 15:14:33;2024-07-30 12:52:12;;;0;1;;0.0;59400;755379;;;;;;N
183033;;154;12214;b001249;b000831;b001249;10000;Zeitbuchung BOSS-Team für Unterstützung ProRis;In diesem Jira wird das BOSS-Team seine Zeiten buchen, sofern für ProRis Tätigkeiten erfolgen. ;;3.0;;10700;2021-06-17 07:46:44;2024-08-28 15:11:51;;;0;2;0.0;0.0;3178559;811617;;;;;;N
187674;;1851;12251;b000124;b000124;b000124;10100;Zeiterfassung für LeanIX;Die Anwendungen der AE-LK sollen im LeanIX nach einem vorgegebenen Muster beschrieben werden.;;4.0;;10700;2021-07-09 08:49:09;2024-08-23 15:56:04;;;0;1;0.0;0.0;502560;810899;;;;;;N
199503;;1649;12253;b000861;b000861;b000861;10100;SYSKOM: Umstellung WebServices von Jenkins/Pipeline -> Jenkins/OCP;Umzug der aktiven Jenkins Jobs/Pipelines von VM ([https://jenkins.apps.ocp-mgmt.cloud.nuernberger.net/job/AE-SHU-RS/]) auf OCP...  *Betroffene Services:* ||Service||Version||Status|| |*AlmedaDataDistributionServiceProxy*|1.3.0|Erledigt| |*AlmedaDataDistributionsServiceProxyDMZ*|1.3.0-DMZ|Erledigt| |*CarglassDataDistributionServiceProxy*|1.1.0|Erledigt| |*CarglassDataDistributionServiceProxyDMZ*|1.1.0-DMZ|Erledigt| |*DefenceInsuranceServiceProxy*|1.0.0|Erledigt| |-*GwSoapServiceProxy (IPM)*-|-1.1.0-|-Erledigt (Wurde ins EFFZE:N-Repo umgezogen)-| |*InsuranceNumberServiceProxy*|1.0.0|Erledigt (SIT + AE92 Deployment)| |*Request2HoldingsSHUServiceProxy*|1.1.0-NVG39 (Aktuelle Modellversion)|Erledigt (SIT + AE92 Deployment)| |*RSAntragsServiceProxy*|1.1.0-NVG39 (Aktuelle Modellversion)|Erledigt (SIT + AE92 Deployment)| |*RSKundenPortalServiceProxy*|1.2.0|Erledigt| |*RSKundenPortalServiceProxyDMZ*|1.2.0-DMZ|Erledigt| |*SHUKundenPortalServiceProxy*|1.2.0|Erledigt| |*SHUKundenPortalServiceProxyDMZ*|1.2.0-DMZ|Erledigt| |*SHUServiceProxy*|1.0.0|Erledigt (SIT Deployment)| |*SHUSPoCDataDistributionServiceProxy*|1.0.0|Erledigt| |*SyskomDataExchangeServiceProxy*|1.2.0|Erledigt| |*SyskomDataExchangeServiceProxyDMZ*|1.2.0-DMZ|Erledigt| |*ZuersgeoServiceSOAPProxy*|1.1.0|Erledigt|   ;;3.0;10000.0;10002;2021-09-06 10:32:55;2024-08-28 07:52:48;2021-11-30 00:00:00.000;2024-06-20 07:00:14.067;0;2;0.0;0.0;529200;789723;;;;;;N
201967;;14063;14006;b000863;b003069;b003069;10101;CLONE - Andrea Frohrieb;;;3.0;10000.0;10002;2021-09-17 10:02:48;2024-07-09 16:59:27;;2024-07-09 16:59:27;0;0;;0.0;14199840;856770;;;;;;N
201968;;14064;14006;b001702;b003069;b003069;10101;Stefanie Neumeier ab 20.09.21 bis 04.07.24;;;3.0;10000.0;10002;2021-09-17 10:02:49;2024-07-08 15:49:07;;2024-07-08 15:49:07;0;0;;0.0;15563514;856771;;;;;;N
201974;;14070;14006;b001737;b001737;b003069;10101;CLONE - Dennis Kincs;;;3.0;;10700;2021-09-17 10:02:55;2024-07-12 15:02:37;;;0;0;3720960.0;0.0;10711800;880346;;;;;;N
206491;;14545;14006;b001702;b003069;b001702;10101;Rainer Mutzke;;;3.0;10000.0;10002;2021-10-13 13:53:09;2024-07-09 15:43:18;;2024-07-09 15:43:18;0;0;;0.0;10711080;857238;;;;;;N
223255;;1;17908;b000942;b001411;b000942;10100;Zeitbuchungen BOSS-Team;;;3.0;;10700;2022-01-05 15:44:43;2024-09-27 17:35:57;;;0;2;0.0;0.0;1762897;805358;;;;;;N
223913;;1;17600;b001064;b001206;b001064;10100;Zeiterfassung AE-Kranken Telematik;Zeiterfassung Projektaufwände AE-Kranken;;3.0;;10700;2022-01-10 08:29:02;2024-09-27 12:12:37;;;0;1;0.0;0.0;973908;765455;;;;;;N
226862;;6;17903;b000674;b000647;b000674;10100;TaxData/Freistellungsauftrag - Fachkonzeption Zulieferung an TaxData;Das aktuelle Fachkonzept liegt unter A:\Projekte\Neue Bestandsführung Leben_ID93\02_Projekt Neues Bestandssystem\03_TP Systemintegration\04_Konzepte\01_Schnittstellenkonzepte\SNT-FSA\Anbindung FSA NVB an TaxData\SNT-FSA Anbindung FSA NVB an TaxData Version 1.6.docx;;3.0;;10700;2022-01-17 13:49:38;2024-09-26 15:50:05;2022-12-31 00:00:00.000;;0;1;3600.0;0.0;4588920;814165;;;;;;N
226936;;7;17903;b000674;b001623;b000674;10100;RAN - Fachkonzeption;;;3.0;;10700;2022-01-17 15:58:39;2024-09-02 13:54:06;2022-12-31 00:00:00.000;;0;1;3600.0;0.0;9272877;814166;;;;;;N
229210;;18;17600;b002331;b003069;b002331;10100;Entwicklung Service KVNR-Antrag;Umwandlung einer CSV-Datei in das PKV-Antragsformat zur KVNR-Beschaffung.  [~B072790];;3.0;;10700;2022-01-25 13:49:31.037;2024-08-19 10:16:40;;;0;1;0.0;4555404.0;9401972;765457;;;;;;N
233084;;3;18200;b000907;b003069;b000907;10000;virtuelle Konten;Mögliche Geschäftsvorfälle modifizieren die über virtuelle Konten abgebildet werden können.  Mit dem Ziel der Effizienzsteigerung und Risikominimierung bzgl. Bankenverkehr.;;2.0;;10000;2022-02-08 14:19:10;2024-08-09 17:07:21;;;0;1;;0.0;2907900;764954;;;;;;N
233503;;1882;12253;b000067;b001681;b000861;10102;KFZ: fehlende Zulassung aus eVB;Der Fachbereich vermisst Zulassungen aus der eVB-Verarbeitung. Die Meldungen kommen in eVB an, können aber im KFZ-Bestand nicht gefunden werden.  Beispiel eVB-Nummern befinden sich im Anhang.;;3.0;;14400;2022-02-09 21:57:22;2024-08-26 12:52:23.067;;;0;4;0.0;0.0;437760;791292;;;;;;N
233778;;74;21800;b000105;b000105;b000105;10001;Infolge der neuen LD-Struktur muss der Betreuungsblock bei LD angepasst werden;"Die neuen Landesdirektionen gibt es in den Vertriebswegen M/MGA, SOMMGA, und GA.  Sofern eine Institution innerhalb der LD angedruckt werden soll, sind folgende Daten erforderlich:  Name generell: NÜRNBERGER Versicherung  Adresse aus ZAD  Kontaktdaten (gesch. Telefon / E-Mail): TA 9300 Persönliche Daten.  Für die Institutionen der restlichen Vertriebswege bleibt die bisherige Regelung unverändert.     26.04.2022: KW wartet auf Rückmeldung von V-PB; AE-Einschätzung : Entweder erfolgt Anforderung schon oder nur kleine Änderung;   10.05.2022: KW fragt nochmal nach;   24.05.2022: unten stehende Fragen von KW werden nach dem Urlaub von Fabian geklärt  06.12.2022: KW fragt bei Herrn Gründler nach Priorisierung  28.03.2023: KW hat gestern neue Testdaten zur Verfügung gestellt";;2.0;;10004;2022-02-10 13:09:28;2024-09-11 14:47:34;;;0;3;0.0;0.0;214200;777832;;;;;;N
236204;;35;17600;b001881;b000896;b001881;10100;Zeiterfassung Operations A/V;Ressourcen verplant Operations Antrag/Vertrag in 2022: *51 PT*  Bitte laufend die verbrauchten Ressourcen eintragen als Zeiterfassung. Danke!;;3.0;;10700;2022-02-21 07:51:39;2024-09-12 09:57:24;;;0;1;1395360.0;1325160.0;70200;765464;;;;;;N
237782;;5;15900;b003069;b003069;b003069;10100;Zeiterfassung-Projektinitiierung;;;3.0;;10000;2022-02-25 10:38:00;2024-09-27 14:33:33;;;0;6;39288960.0;12031080.0;27286680;814033;;;;;;N
242371;;6;15900;b001249;b001249;b001249;10100;Verschmelzung NBL-NLV: Zeitbuchung BOSS-Team;In diesem Ticket werden die Zeiten vom BOSS-Team gebucht. ;;3.0;;10000;2022-03-17 11:46:28;2024-09-13 12:27:51;;;0;2;0.0;0.0;1054500;814034;;;;;;N
242378;;8;17903;b001249;b001249;b001249;10100;RAN: Zeitbuchung BOSS-Team;Hier werden die Zeiten vom BOSS-Team für Projekt Einführung RAN & TaxDate gebucht. ;;3.0;;10000;2022-03-17 11:55:19;2024-07-26 12:34:50;;;0;1;0.0;0.0;357300;814102;;;;;;N
244602;;131;17300;b001064;b003069;b001064;10001;Erweiterung TAURB mind. 4-stellig;Ordnerpfad:     Erweiterung des Feldes TAURB, als des gehaltenen URs je Tarif im System auf Basis der Anforderungen zur Erweiterung des Gesamtsystems aufgrund Verschiebung KLuB. Hierbei ist besonders hinsichtlich lang laufender Vollversicherung mittlerweile der Bedarf an werten größer 999,99 fachlich gegeben.;;3.0;;10700;2022-03-28 11:28:59;2024-09-27 14:57:04;;;0;1;;0.0;1047528;781508;;;;;;N
251042;;482;16001;b003069;b003069;b003069;10000;Zeitbuchung - Querschnittsaufwände  Team AE-Leben Individual-Anwendungen/-Services;Zeitbuchungsticket für AE-L-IND / TeamLebenService  für Aufwände für die im TeamLebenServices verorteten LF-Adapter, LF-Umsysteme, die LifeFactoryServiceFacade incl. dazugehörige Meetings u.ä.   Aufwände für die LF-Releases werden nicht hier, sondern auf die WELF-Tickets pro LF-Release gebucht (Anlage durch Snt-Zentral).  Aufwände für Services/Serviceerweiterungen anderer Projekte (z.B. GWG-Service, AKAB)  werden nicht hier, sondern auf Zeitbuchungstickets des entspr. Projektes gebucht.;;3.0;;10700;2022-05-04 06:00:49.067;2024-09-20 16:45:12;;;0;3;;0.0;2908080;764767;;;;;;N
255151;;736;16001;b003069;b003069;b003069;10100;EXTERN - Zeitbuchung - FF074 Änderung Zahlweise (623);;;3.0;;10700;2022-05-23 15:21:40;2024-06-26 12:25:08;;;0;2;;0.0;1075500;764790;;;;;;N
255332;;916;16001;b003069;b003069;b003069;10100;EXTERN - Zeitbuchung - Rechenkern;;;3.0;;10700;2022-05-23 15:31:23.013;2024-08-23 16:43:10;;;0;1;;0.0;9551700;764798;;;;;;N
255340;;923;16001;b003069;b003069;b003069;10100;INTERN - Zeitbuchung - AG Dokumente / Weiterentwicklung Basisrentenbescheinigung;;;3.0;;10000;2022-05-23 15:31:46.047;2024-08-30 19:49:42;;;0;1;;0.0;1958400;763156;;;;;;N
255342;;925;16001;b003069;b003069;b003069;10100;INTERN - Zeitbuchung - CFT Scrum Events;;;3.0;;10000;2022-05-23 15:31:53;2024-06-05 08:31:02;;;0;1;;0.0;2423339;763157;;;;;;N
255360;;943;16001;b003069;b003069;b003069;10100;INTERN - Zeitbuchung - FF025 Standmitteilung maschineller Versand (805);;;3.0;;10000;2022-05-23 15:32:53;2024-09-27 11:17:05;;;0;1;;0.0;17366484;763174;;;;;;N
255361;;944;16001;b003069;b003069;b003069;10100;EXTERN - Zeitbuchung - FF025 Standmitteilung maschineller Versand (805);;;3.0;;10700;2022-05-23 15:32:55;2024-06-07 14:29:44;;;0;1;;0.0;39632700;764801;;;;;;N
263355;;21276;14006;b001512;b001512;b001512;10101;Zeiterfassung Sandra Feuerstein;;;3.0;;10700;2022-07-07 11:39:14;2024-06-28 16:33:03;;;0;1;;0.0;5612220;880352;;;;;;N
263359;;21277;14006;b000833;b003069;b000833;10101;Zeiterfassung Manuela Hart;;;3.0;10000.0;10002;2022-07-07 11:45:39;2024-07-10 13:03:47;;2024-07-10 13:03:47;0;1;;0.0;10948320;863656;;;;;;N
264517;;4001;13501;b000105;b000777;b000105;10001;Korrekturen falscher Konten bei LV;"In Prod gibt es bei LV-Diskontdaten Agenturnummern die sowohl Konten als auch ein ""buchen auf"" haben.  Dies muss bitte korrigiert werden.  Weitere Infos sh. beiliegende E-Mail.";;3.0;;10700;2022-07-13 11:53:26;2024-09-17 17:23:54;;;0;5;164160.0;0.0;176400;885600;;;;;;N
264563;;2319;13501;b000105;b000105;b000105;10102;Bei Hierarchieänderungen muss es eine echte Historie geben;"Übernahme aus NSPS 1768  Info von Kai:  *Stornierte Agentur*  Da bin ich mir nicht sicher ob das ein Problem ist  Es werden zwei Zustände geliefert: Ein aktiver und ein stornierter, das wird auch so in APM übernommen  Bezüglich der Überstellung gab es einen Wechsel an dem 08.12.2021 - von `{color:#00875a}117503162{color}` auf `{color:#00875a}117506006{color}`     Wenn man in COM die Periode z. B. auf den Oktober 2021 stellt sieht man die ""fehlenden"" Agenturen wieder  Wenn man ein Datum nach dem Wechsel auswählt und sich `{color:#00875a}117503162{color}` anschaut findet man dann diese Agenturen dort nicht mehr  Man sollte hier wenn hinterfragen warum das in PROD nicht genauso dargestellt wird - dort gibt es den Wechsel nämlich auch     Antwort von mir:  [~B800948] Von diesem Jira ist nur noch das Thema ""stornierte Agentur"" offen. Die anderen beiden Themen sind durch andere Jira abgedeckt.  Bitte für Überstellungen bei einer Agenturnummer eine echte Historie installieren.  Es ist unbedingt erforderlich, dass der/die Anwender*in direkt innerhalb der Historie sehen kann, welche Überstellungen es in der Vergangenheit gab.     Definition der Anforderung:  Wir wollen bei einer Agenturnummern sehen, wer historisch in der Agenturdatei überstellt war. Dabei soll das gültig ab, das wirksam ab, Pberstellung (B, S, P) und Name der Überstellung: Beispiel aus der Agenturdatei heute:  !image-2022-10-10-11-50-03-730.png!";;2.0;;11009;2022-07-13 13:51:43;2024-09-26 09:47:57;;;0;10;21600.0;0.0;39600;755431;;;;;;N
271026;;2655;13501;b001450;b003069;b001450;10000;OM Themen für spätere Releases;;;3.0;;10000;2022-08-11 14:52:12;2024-09-26 14:18:38;;;0;1;;0.0;88200;752243;;;;;;N
271435;;2656;13501;b000443;b000443;b003069;10000;14_003_Ersatzgeschäft;https://architektur/wiki/pages/viewpage.action?pageId=222895921  https://architektur/wiki/pages/viewpage.action?pageId=141379113;;2.0;;10700;2022-08-12 14:57:20.050;2024-09-26 15:33:17;;;0;6;;0.0;710640;755388;;;;;;N
276913;;91;18200;b002403;b003069;b002403;10100;Projektarbeit - Fachbereich;Hier sind sämtliche Zeiten für die Workshops zu melden. Unabhängig vom Themenbereich. Hierzu gehören auch die Vorbereitungszeiten für die Workshops sowie sämtliche Konzeptarbeit. ;;3.0;;10700;2022-09-13 09:18:23;2024-09-27 12:55:37;;;0;1;126000.0;0.0;6684660;765335;;;;;;N
276915;;92;18200;b002403;b003069;b002403;10100;Projektarbeit - AE;Hier sind sämtliche Zeiten für die Workshops zu melden. Unabhängig vom Themenbereich.;;3.0;;10700;2022-09-13 09:25:38;2024-09-27 19:06:33;;;0;2;151200.0;0.0;12313860;765336;;;;;;N
277770;;2725;13501;b001086;b000443;b001086;10000;14_002_006 GeVo Änderung (SH);_+{color:#de350b}*ACHTUNG - darf nur mit NSPS-2740 aktiviert werden*{color}+_ *{color:#0747A6}***12.12.2023: Beide Epen dürfen unabhängig voneinander in Produktion gehen***{color}*  Epic für Typ Änderung mit den Auswirkungen:  * Mehrbeitrag  * Minderbeitrag  * Beitragneutrale Änderung  * Laufzeitänderung  * HFM  * Zahlweise-Änderung  * Einschluss eines Vertrages  * Ausschluss eines Vertrages  * Tarifwechsel;;2.0;10000.0;10002;2022-09-19 12:58:01;2024-09-20 17:49:06;;2024-09-19 10:03:13;0;6;;0.0;1171980;755296;;;;;;N
277862;;2735;13501;b001086;b000443;b001086;10000;14_030 - Sach/Haftpflicht (SH) - WIK;Epic für Typ WIK mit der Ausprägung:  * WIK nach Storno;;2.0;;10700;2022-09-19 14:59:40;2024-09-25 16:12:52;;;0;3;;0.0;885780;755389;;;;;;N
277877;;2740;13501;b001086;b000553;b001086;10000;14_052 GeVo Korrektur Vorgang (SH);_+{color:#de350b}*ACHTUNG - darf nur mit NSPS-2725 aktiviert werden*{color}+_ {color:#0747A6}**12.12.2023: Beide Epen dürfen unabhängig voneinander in Produktion gehen**{color}  Epic für Typ Korrektur mit den Auswirkungen:  Korrektur Änderung    Mehrung Korrektur Änderung    Minderbeitrag Korrektur Änderung    Beitragsneutrale Änderung Korrektur Änderung    Tarifwechsel (z. B. nach Wechsel von 644 über 667 auf 662);;2.0;;10700;2022-09-19 15:20:22;2024-09-18 11:26:15;;;0;1;;0.0;118800;755390;;;;;;N
277928;;2747;13501;b000553;b000553;b000553;10000;14_038-Vergütung gewerbliche Gebäudeversicherung;https://architektur/wiki/pages/viewpage.action?pageId=220171725;;2.0;;10700;2022-09-19 16:11:05.033;2024-09-18 12:11:40;2022-12-02 00:00:00.000;;0;1;;0.0;131400;755391;;;;;;N
281227;;2814;13501;b003069;b003069;b003069;10000;Bestandszuordnung (BZO u. BÜ) - Teil 3;;;3.0;;10000;2022-10-04 16:37:42;2024-09-16 13:50:31;;;0;2;;0.0;41400;752280;;;;;;N
281303;;23786;14006;b002336;b003069;b002336;10101;Andreas Musiol;;;3.0;;10700;2022-10-05 09:18:45;2024-08-05 08:23:54.013;;;0;1;;0.0;10493280;880356;;;;;;N
